filename,ps,ds,dms,cycle
000001.csv,76,24,10,4
000002.csv,45,28,10,5
000003.csv,57,42,5,3
000004.csv,90,6,6,2
000005.csv,70,80,9,3
000006.csv,76,74,5,1
000007.csv,69,44,10,6
000008.csv,82,78,9,2
000009.csv,48,72,9,4
000010.csv,65,84,6,1
000011.csv,43,96,7,3
000012.csv,84,24,10,1
000013.csv,52,20,7,5
000014.csv,71,70,7,2
000015.csv,40,76,8,3
000016.csv,95,54,10,6
000017.csv,58,2,7,3
000018.csv,47,56,7,6
000019.csv,76,40,6,1
000020.csv,80,92,7,5
000021.csv,61,74,8,6
000022.csv,51,66,8,6
000023.csv,97,18,10,1
000024.csv,42,90,8,5
000025.csv,81,60,7,3
000026.csv,82,72,9,4
000027.csv,50,46,5,5
000028.csv,58,80,6,4
000029.csv,54,96,10,1
000030.csv,52,14,8,5
000031.csv,64,96,7,2
000032.csv,77,8,8,4
000033.csv,79,44,6,3
000034.csv,63,50,6,3
000035.csv,65,20,8,1
000036.csv,77,56,8,4
000037.csv,82,10,5,5
000038.csv,71,52,6,5
000039.csv,52,86,5,5
000040.csv,45,52,8,1
000041.csv,47,16,6,1
000042.csv,55,20,6,4
000043.csv,58,68,8,1
000044.csv,40,10,9,4
000045.csv,57,92,5,1
000046.csv,67,66,5,4
000047.csv,81,40,8,2
000048.csv,92,100,10,1
000049.csv,61,44,9,6
000050.csv,59,42,8,1
000051.csv,46,8,9,5
000052.csv,89,50,6,6
000053.csv,55,12,5,3
000054.csv,95,36,7,3
000055.csv,83,30,8,1
000056.csv,100,6,5,2
000057.csv,95,92,10,6
000058.csv,92,14,7,3
000059.csv,81,40,10,5
000060.csv,95,16,10,3
000061.csv,98,40,7,6
000062.csv,92,36,7,6
000063.csv,41,60,5,4
000064.csv,67,16,10,2
000065.csv,67,98,7,1
000066.csv,56,82,10,1
000067.csv,54,66,9,1
000068.csv,43,30,6,4
000069.csv,42,86,9,3
000070.csv,98,58,8,1
000071.csv,95,28,6,6
000072.csv,51,10,10,2
000073.csv,87,82,9,4
000074.csv,92,94,7,1
000075.csv,75,14,6,5
000076.csv,85,68,8,2
000077.csv,64,74,7,1
000078.csv,97,74,8,3
000079.csv,41,58,9,3
000080.csv,43,16,6,2
000081.csv,46,46,10,3
000082.csv,89,44,5,2
000083.csv,55,16,6,3
000084.csv,56,76,9,1
000085.csv,67,50,5,1
000086.csv,85,68,6,4
000087.csv,58,54,7,2
000088.csv,55,74,8,4
000089.csv,55,28,9,3
000090.csv,85,42,10,3
000091.csv,91,100,7,4
000092.csv,55,4,7,2
000093.csv,91,52,6,1
000094.csv,43,36,8,3
000095.csv,68,18,8,5
000096.csv,45,4,5,3
000097.csv,43,48,6,6
000098.csv,100,76,8,2
000099.csv,49,26,5,2
000100.csv,84,20,7,1
000101.csv,97,44,10,3
000102.csv,52,16,6,3
000103.csv,77,16,5,3
000104.csv,55,100,8,2
000105.csv,74,98,10,5
000106.csv,51,70,6,4
000107.csv,70,4,8,6
000108.csv,90,34,8,5
000109.csv,70,92,5,6
000110.csv,72,54,9,4
000111.csv,85,50,8,1
000112.csv,95,18,10,1
000113.csv,90,76,6,6
000114.csv,52,82,9,6
000115.csv,63,2,6,1
000116.csv,43,24,6,1
000117.csv,84,8,6,5
000118.csv,64,26,5,6
000119.csv,85,58,9,6
000120.csv,94,70,7,4
000121.csv,91,22,10,1
000122.csv,42,22,8,6
000123.csv,58,66,5,3
000124.csv,96,34,6,3
000125.csv,64,56,5,4
000126.csv,82,44,7,1
000127.csv,86,54,6,3
000128.csv,57,28,10,3
000129.csv,58,90,8,6
000130.csv,96,80,10,4
000131.csv,56,92,5,4
000132.csv,61,56,9,3
000133.csv,43,30,9,6
000134.csv,79,66,5,1
000135.csv,96,26,8,1
000136.csv,88,86,10,3
000137.csv,45,92,10,6
000138.csv,72,38,9,3
000139.csv,47,96,8,1
000140.csv,61,22,8,2
000141.csv,96,6,5,4
000142.csv,93,94,8,3
000143.csv,54,90,7,3
000144.csv,74,52,5,5
000145.csv,89,94,9,3
000146.csv,41,74,7,6
000147.csv,100,48,8,4
000148.csv,83,94,5,2
000149.csv,99,10,8,3
000150.csv,42,90,6,5
000151.csv,68,44,8,3
000152.csv,97,70,5,1
000153.csv,43,68,6,4
000154.csv,41,42,9,2
000155.csv,67,96,6,1
000156.csv,79,8,6,6
000157.csv,43,14,6,6
000158.csv,99,26,6,5
000159.csv,45,16,10,2
000160.csv,55,84,8,6
000161.csv,71,96,7,6
000162.csv,79,58,9,2
000163.csv,60,56,5,4
000164.csv,60,32,5,3
000165.csv,68,40,6,4
000166.csv,50,20,10,5
000167.csv,60,80,5,6
000168.csv,59,18,8,6
000169.csv,76,98,9,5
000170.csv,82,92,6,1
000171.csv,64,88,9,6
000172.csv,53,24,9,1
000173.csv,72,44,9,3
000174.csv,98,4,9,3
000175.csv,64,100,5,1
000176.csv,50,34,9,4
000177.csv,59,72,7,4
000178.csv,41,48,5,1
000179.csv,46,90,6,1
000180.csv,49,60,7,4
000181.csv,95,32,7,4
000182.csv,71,4,7,1
000183.csv,88,32,8,3
000184.csv,62,22,9,5
000185.csv,48,28,10,2
000186.csv,63,100,10,5
000187.csv,63,74,10,6
000188.csv,82,78,8,5
000189.csv,99,8,5,1
000190.csv,62,82,10,5
000191.csv,77,50,7,5
000192.csv,99,40,7,4
000193.csv,69,74,9,2
000194.csv,94,74,8,5
000195.csv,91,76,7,6
000196.csv,84,30,5,6
000197.csv,85,16,7,6
000198.csv,65,40,5,1
000199.csv,63,4,9,1
000200.csv,76,44,7,1
000201.csv,42,54,10,4
000202.csv,75,90,6,6
000203.csv,95,96,8,1
000204.csv,61,4,9,4
