filename,ps,ds,dms,cycle
007480.csv,85,96,5,2
007481.csv,85,96,5,4
007482.csv,85,96,5,6
007483.csv,40,12,10,2
007484.csv,40,12,10,4
007485.csv,40,12,10,6
007486.csv,55,96,10,2
007487.csv,55,96,10,4
007488.csv,55,96,10,6
007489.csv,40,28,6,2
007490.csv,40,28,6,4
007491.csv,40,28,6,6
007492.csv,90,8,6,2
007493.csv,90,8,6,4
007494.csv,90,8,6,6
007495.csv,50,12,9,2
007496.csv,50,12,9,4
007497.csv,50,12,9,6
007498.csv,65,36,10,2
007499.csv,65,36,10,4
007500.csv,65,36,10,6
007501.csv,90,104,9,2
007502.csv,90,104,9,4
007503.csv,90,104,9,6
007504.csv,55,4,5,2
007505.csv,55,4,5,4
007506.csv,55,4,5,6
007507.csv,45,52,7,2
007508.csv,45,52,7,4
007509.csv,45,52,7,6
007510.csv,75,12,10,2
007511.csv,75,12,10,4
007512.csv,75,12,10,6
007513.csv,80,108,6,2
007514.csv,80,108,6,4
007515.csv,80,108,6,6
007516.csv,75,76,10,2
007517.csv,75,76,10,4
007518.csv,75,76,10,6
007519.csv,70,44,5,2
007520.csv,70,44,5,4
007521.csv,70,44,5,6
007522.csv,95,36,7,2
007523.csv,95,36,7,4
007524.csv,95,36,7,6
007525.csv,40,28,5,2
007526.csv,40,28,5,4
007527.csv,40,28,5,6
007528.csv,50,72,5,2
007529.csv,50,72,5,4
007530.csv,50,72,5,6
007531.csv,50,84,11,2
007532.csv,50,84,11,4
007533.csv,50,84,11,6
007534.csv,95,56,6,2
007535.csv,95,56,6,4
007536.csv,95,56,6,6
007537.csv,100,92,11,2
007538.csv,100,92,11,4
007539.csv,100,92,11,6
007540.csv,90,52,7,2
007541.csv,90,52,7,4
007542.csv,90,52,7,6
007543.csv,80,88,9,2
007544.csv,80,88,9,4
007545.csv,80,88,9,6
007546.csv,50,92,11,2
007547.csv,50,92,11,4
007548.csv,50,92,11,6
007549.csv,70,8,11,2
007550.csv,70,8,11,4
007551.csv,70,8,11,6
007552.csv,75,16,7,2
007553.csv,75,16,7,4
007554.csv,75,16,7,6
007555.csv,50,96,10,2
007556.csv,50,96,10,4
007557.csv,50,96,10,6
007558.csv,85,28,8,2
007559.csv,85,28,8,4
007560.csv,85,28,8,6
007561.csv,100,72,5,2
007562.csv,100,72,5,4
007563.csv,100,72,5,6
007564.csv,105,56,8,2
007565.csv,105,56,8,4
007566.csv,105,56,8,6
007567.csv,40,8,11,2
007568.csv,40,8,11,4
007569.csv,40,8,11,6
007570.csv,80,48,5,2
007571.csv,80,48,5,4
007572.csv,80,48,5,6
007573.csv,60,24,10,2
007574.csv,60,24,10,4
007575.csv,60,24,10,6
007576.csv,55,36,8,2
007577.csv,55,36,8,4
007578.csv,55,36,8,6
007579.csv,70,4,10,2
007580.csv,70,4,10,4
007581.csv,70,4,10,6
007582.csv,105,92,7,2
007583.csv,105,92,7,4
007584.csv,105,92,7,6
007585.csv,75,64,10,2
007586.csv,75,64,10,4
007587.csv,75,64,10,6
007588.csv,105,56,11,2
007589.csv,105,56,11,4
007590.csv,105,56,11,6
007591.csv,65,28,7,2
007592.csv,65,28,7,4
007593.csv,65,28,7,6
007594.csv,45,24,10,2
007595.csv,45,24,10,4
007596.csv,45,24,10,6
007597.csv,40,96,5,2
007598.csv,40,96,5,4
007599.csv,40,96,5,6
007600.csv,100,108,10,2
007601.csv,100,108,10,4
007602.csv,100,108,10,6
007603.csv,95,48,10,2
007604.csv,95,48,10,4
007605.csv,95,48,10,6
007606.csv,95,32,10,2
007607.csv,95,32,10,4
007608.csv,95,32,10,6
007609.csv,50,52,5,2
007610.csv,50,52,5,4
007611.csv,50,52,5,6
007612.csv,80,68,5,2
007613.csv,80,68,5,4
007614.csv,80,68,5,6
007615.csv,75,108,6,2
007616.csv,75,108,6,4
007617.csv,75,108,6,6
007618.csv,85,44,10,2
007619.csv,85,44,10,4
007620.csv,85,44,10,6
007621.csv,50,104,5,2
007622.csv,50,104,5,4
007623.csv,50,104,5,6
007624.csv,110,96,8,2
007625.csv,110,96,8,4
007626.csv,110,96,8,6
007627.csv,110,108,9,2
007628.csv,110,108,9,4
007629.csv,110,108,9,6
007630.csv,75,24,8,2
007631.csv,75,24,8,4
007632.csv,75,24,8,6
007633.csv,50,48,8,2
007634.csv,50,48,8,4
007635.csv,50,48,8,6
007636.csv,75,104,8,2
007637.csv,75,104,8,4
007638.csv,75,104,8,6
007639.csv,65,16,5,2
007640.csv,65,16,5,4
007641.csv,65,16,5,6
007642.csv,65,64,9,2
007643.csv,65,64,9,4
007644.csv,65,64,9,6
007645.csv,70,64,9,2
